Date,Open,High,Low,Close,Adj Close,Volume
2013-07-29,107.650002,107.820000,107.070000,107.349998,89.912193,6397800
2013-07-30,107.709999,107.760002,107.050003,107.309998,89.878624,3635400
2013-07-31,106.059998,107.919998,105.849998,107.699997,90.205276,10483100
2013-08-01,106.489998,106.489998,105.000000,105.360001,88.467186,13568600
2013-08-02,106.010002,106.610001,105.980003,106.519997,89.441177,9568400
2013-08-05,106.190002,106.250000,105.540001,105.699997,88.752678,6611800
2013-08-06,105.529999,106.010002,105.339996,106.010002,89.012978,4589000
2013-08-07,106.169998,106.940002,106.169998,106.800003,89.676323,7183400
2013-08-08,106.980003,107.599998,106.790001,107.089996,89.919800,5510900
2013-08-09,106.599998,107.269997,106.480003,107.260002,90.062523,3623400
2013-08-12,107.610001,107.629997,106.470001,106.529999,89.449608,7562800
2013-08-13,105.330002,105.360001,104.800003,104.989998,88.156494,11485600
2013-08-14,104.940002,105.360001,104.870003,105.150002,88.290833,6431600
2013-08-15,104.099998,104.629997,103.690002,103.730003,87.098526,11846300
2013-08-16,103.959999,103.970001,102.669998,103.370003,86.796234,10175900
2013-08-19,102.930000,103.010002,102.209999,102.470001,86.040558,9022000
2013-08-20,102.889999,103.360001,102.849998,103.260002,86.703911,10050100
2013-08-21,102.769997,103.199997,102.110001,102.129997,85.755066,13248800
2013-08-22,102.459999,103.230003,102.239998,103.169998,86.628311,8751200
2013-08-23,103.010002,104.389999,102.739998,104.290001,87.568748,17441200
2013-08-26,104.559998,104.889999,104.330002,104.809998,88.005363,5879100
2013-08-27,105.290001,106.250000,105.040001,106.129997,89.113716,11573300
2013-08-28,105.410004,105.570000,104.940002,105.269997,88.391602,7497900
2013-08-29,104.879997,106.309998,104.790001,106.110001,89.096924,6672400
2013-08-30,106.019997,106.680000,105.739998,105.989998,88.996170,8987600
2013-09-03,104.589996,104.669998,103.510002,104.220001,87.740967,12084300
2013-09-04,104.449997,104.650002,103.949997,103.989998,87.547356,4579600
2013-09-05,103.470001,103.599998,102.529999,102.540001,86.326569,12290600
2013-09-06,103.250000,103.820000,102.809998,103.050003,86.755905,9478400
2013-09-09,103.800003,103.809998,103.080002,103.099998,86.798004,6874900
2013-09-10,102.730003,103.339996,102.360001,102.379997,86.191887,8069000
2013-09-11,102.919998,103.309998,102.190002,103.290001,86.957993,8962400
2013-09-12,103.849998,104.000000,103.059998,103.150002,86.840126,6254400
2013-09-13,103.510002,103.830002,103.230003,103.550003,87.176872,6106200
2013-09-16,104.330002,104.410004,102.849998,102.860001,86.595963,8231600
2013-09-17,103.370003,103.739998,102.970001,103.709999,87.311531,8795300
2013-09-18,103.629997,105.550003,102.980003,104.989998,88.389183,19749200
2013-09-19,105.050003,105.089996,104.160004,104.370003,87.867226,11627800
2013-09-20,104.690002,105.180000,104.449997,104.919998,88.330269,8421000
